leftover,product,storage,t
-183.590006663,FCOJ,S51,42.0
-44.3322338499,ORA,S35,43.0
-132.243590296,POJ,S35,43.0
-40.8936372601,ROJ,S35,43.0
-90.2967225168,FCOJ,S35,43.0
-46.1323745228,ORA,S73,43.0
-37.0450327209,POJ,S73,43.0
-42.6456845858,ROJ,S73,43.0
-3.13265839439,FCOJ,S73,43.0
-22.0400349339,ORA,S59,43.0
-42.7064159009,POJ,S59,43.0
-61.6169494722,ROJ,S59,43.0
-58.1036688109,FCOJ,S59,43.0
-98.4467707029,ORA,S51,43.0
-112.05218322,POJ,S51,43.0
-74.5936643966,ROJ,S51,43.0
-209.659190559,FCOJ,S51,43.0
-38.2307836297,ORA,S35,44.0
48.5882601545,POJ,S35,44.0
-42.5392695082,ROJ,S35,44.0
-29.4300517097,FCOJ,S35,44.0
-48.8172295087,ORA,S73,44.0
-41.623778086,POJ,S73,44.0
-47.5676620738,ROJ,S73,44.0
-22.6419979607,FCOJ,S73,44.0
-28.0305715741,ORA,S59,44.0
-43.4346214123,POJ,S59,44.0
-57.5992280002,ROJ,S59,44.0
-47.5105530481,FCOJ,S59,44.0
-82.0939092551,ORA,S51,44.0
-111.145423608,POJ,S51,44.0
-69.8774095757,ROJ,S51,44.0
-172.029084484,FCOJ,S51,44.0
-39.8000494686,ORA,S35,45.0
17.3556570832,POJ,S35,45.0
-34.6257462689,ROJ,S35,45.0
-81.9034102029,FCOJ,S35,45.0
-24.8596630477,ORA,S73,45.0
-37.55854914,POJ,S73,45.0
-50.4190582157,ROJ,S73,45.0
-17.8992032089,FCOJ,S73,45.0
-34.5546817264,ORA,S59,45.0
-46.4054541707,POJ,S59,45.0
-61.1892130582,ROJ,S59,45.0
-44.2771821889,FCOJ,S59,45.0
-79.5370054133,ORA,S51,45.0
